employee,cluster,checkIn,checkOut,hoursWorked,status
Vikram Reddy,Faridabad Cluster,2026-07-08T05:30:00.000Z,2026-07-08T12:30:00.000Z,7,LATE_CHECKIN
Neha Chauhan,Gurgaon Solution Cluster,2026-07-08T05:27:00.000Z,2026-07-08T13:27:00.000Z,8,LATE_CHECKIN
Prashant Chauhan,Unassigned,2026-07-08T05:12:00.000Z,2026-07-08T13:12:00.000Z,8,LATE_CHECKIN
Gaurav Pillai,Unassigned,2026-07-08T05:10:00.000Z,2026-07-08T14:10:00.000Z,9,LATE_CHECKIN
Swati Ghosh,Gurgaon Solution Cluster,2026-07-08T05:09:00.000Z,2026-07-08T10:09:00.000Z,5,LATE_CHECKIN
Meera Mehta,Manesar Cluster,2026-07-08T04:58:00.000Z,2026-07-08T16:58:00.000Z,12,LATE_CHECKIN
Simran Reddy,Manesar Cluster,2026-07-08T04:41:00.000Z,2026-07-08T13:41:00.000Z,9,LATE_CHECKIN
Harsh Chauhan,Unassigned,2026-07-08T04:40:00.000Z,2026-07-08T11:40:00.000Z,7,LATE_CHECKIN
Varun Malhotra,Delhi NCR Cluster,2026-07-08T04:31:00.000Z,2026-07-08T11:31:00.000Z,7,LATE_CHECKIN
Ritu Malhotra,Faridabad Cluster,2026-07-08T04:02:00.000Z,,,MISSED_CHECKOUT
Swati Tiwari,Unassigned,2026-07-08T03:49:00.000Z,,,MISSED_CHECKOUT
Ishaan Singh,Gurgaon Solution Cluster,2026-07-08T03:31:00.000Z,,,MISSED_CHECKOUT
Meera Mehta,Delhi NCR Cluster,2026-07-07T06:29:00.000Z,2026-07-07T15:29:00.000Z,9,LATE_CHECKIN
Swati Ghosh,Delhi NCR Cluster,2026-07-07T06:27:00.000Z,2026-07-07T15:27:00.000Z,9,LATE_CHECKIN
Karan Kapoor,Unassigned,2026-07-07T06:00:00.000Z,2026-07-07T13:00:00.000Z,7,LATE_CHECKIN
Varun Malhotra,Manesar Cluster,2026-07-07T05:50:00.000Z,2026-07-07T15:50:00.000Z,10,LATE_CHECKIN
Swati Tiwari,Delhi NCR Cluster,2026-07-07T05:46:00.000Z,2026-07-07T14:46:00.000Z,9,LATE_CHECKIN
Diya Verma,Delhi NCR Cluster,2026-07-07T05:44:00.000Z,2026-07-07T13:44:00.000Z,8,LATE_CHECKIN
Harsh Chauhan,Unassigned,2026-07-07T05:36:00.000Z,2026-07-07T14:36:00.000Z,9,LATE_CHECKIN
Neha Chauhan,Faridabad Cluster,2026-07-07T05:29:00.000Z,2026-07-07T14:29:00.000Z,9,LATE_CHECKIN
Ritu Malhotra,Delhi NCR Cluster,2026-07-07T05:06:00.000Z,,,LATE_CHECKIN
Gaurav Pillai,Faridabad Cluster,2026-07-07T04:50:00.000Z,2026-07-07T12:50:00.000Z,8,LATE_CHECKIN
Harsh Chatterjee,Manesar Cluster,2026-07-07T04:49:00.000Z,,,LATE_CHECKIN
Simran Reddy,Faridabad Cluster,2026-07-07T04:46:00.000Z,2026-07-07T16:46:00.000Z,12,LATE_CHECKIN
Harsh Saxena,Unassigned,2026-07-07T04:45:00.000Z,2026-07-07T11:45:00.000Z,7,LATE_CHECKIN
Varun Pillai,Faridabad Cluster,2026-07-07T04:44:00.000Z,2026-07-07T13:44:00.000Z,9,LATE_CHECKIN
Simran Verma,Noida Cluster,2026-07-07T04:43:00.000Z,2026-07-07T12:43:00.000Z,8,LATE_CHECKIN
Divya Agarwal,Faridabad Cluster,2026-07-07T04:43:00.000Z,2026-07-07T12:43:00.000Z,8,LATE_CHECKIN
Prashant Chauhan,Faridabad Cluster,2026-07-07T04:26:00.000Z,,,MISSED_CHECKOUT
Rahul Ghosh,Noida Cluster,2026-07-07T04:19:00.000Z,2026-07-07T11:19:00.000Z,7,ON_TIME
Ankit Kumar,Faridabad Cluster,2026-07-07T04:03:00.000Z,2026-07-07T16:03:00.000Z,12,OVERTIME
Deepika Iyer,Delhi NCR Cluster,2026-07-07T04:02:00.000Z,2026-07-07T11:02:00.000Z,7,ON_TIME
Swati Chauhan,Gurgaon Solution Cluster,2026-07-07T03:51:00.000Z,2026-07-07T12:51:00.000Z,9,ON_TIME
Vikram Reddy,Manesar Cluster,2026-07-07T03:38:00.000Z,2026-07-07T07:38:00.000Z,4,MISSED_CHECKOUT
Gaurav Pillai,Noida Cluster,2026-07-06T06:20:00.000Z,2026-07-06T11:20:00.000Z,5,LATE_CHECKIN
Swati Tiwari,Unassigned,2026-07-06T06:15:00.000Z,2026-07-06T14:15:00.000Z,8,LATE_CHECKIN
Harsh Chatterjee,Delhi NCR Cluster,2026-07-06T06:12:00.000Z,,,LATE_CHECKIN
Prashant Chauhan,Unassigned,2026-07-06T06:11:00.000Z,2026-07-06T17:11:00.000Z,11,LATE_CHECKIN
Harsh Saxena,Gurgaon Solution Cluster,2026-07-06T05:56:00.000Z,2026-07-06T17:56:00.000Z,12,LATE_CHECKIN
Ankit Kumar,Manesar Cluster,2026-07-06T05:56:00.000Z,2026-07-06T15:56:00.000Z,10,LATE_CHECKIN
Neha Chauhan,Manesar Cluster,2026-07-06T05:53:00.000Z,2026-07-06T17:53:00.000Z,12,LATE_CHECKIN
Karan Kapoor,Noida Cluster,2026-07-06T05:17:00.000Z,2026-07-06T14:17:00.000Z,9,LATE_CHECKIN
Ritu Malhotra,Delhi NCR Cluster,2026-07-06T04:59:00.000Z,2026-07-06T14:59:00.000Z,10,LATE_CHECKIN
Varun Malhotra,Manesar Cluster,2026-07-06T04:53:00.000Z,2026-07-06T08:53:00.000Z,4,LATE_CHECKIN
Swati Ghosh,Faridabad Cluster,2026-07-06T04:52:00.000Z,,,LATE_CHECKIN
Ishaan Singh,Delhi NCR Cluster,2026-07-06T04:51:00.000Z,2026-07-06T11:51:00.000Z,7,LATE_CHECKIN
Diya Verma,Gurgaon Solution Cluster,2026-07-06T04:41:00.000Z,2026-07-06T11:41:00.000Z,7,LATE_CHECKIN
Vikram Reddy,Manesar Cluster,2026-07-06T04:35:00.000Z,2026-07-06T12:35:00.000Z,8,LATE_CHECKIN
Varun Pillai,Unassigned,2026-07-06T04:07:00.000Z,2026-07-06T11:07:00.000Z,7,ON_TIME
Divya Agarwal,Noida Cluster,2026-07-06T04:05:00.000Z,2026-07-06T12:05:00.000Z,8,ON_TIME
Simran Reddy,Noida Cluster,2026-07-06T04:02:00.000Z,2026-07-06T13:02:00.000Z,9,ON_TIME
Shreya Pillai,Manesar Cluster,2026-07-06T04:00:00.000Z,2026-07-06T12:00:00.000Z,8,ON_TIME
Swati Chauhan,Faridabad Cluster,2026-07-06T03:55:00.000Z,2026-07-06T13:55:00.000Z,10,OVERTIME
Simran Verma,Noida Cluster,2026-07-06T03:48:00.000Z,2026-07-06T11:48:00.000Z,8,ON_TIME
Meera Mehta,Faridabad Cluster,2026-07-06T03:41:00.000Z,2026-07-06T14:41:00.000Z,11,OVERTIME
Meera Mehta,Gurgaon Solution Cluster,2026-07-05T06:26:00.000Z,2026-07-05T15:26:00.000Z,9,LATE_CHECKIN
Karan Kapoor,Faridabad Cluster,2026-07-05T06:20:00.000Z,2026-07-05T18:20:00.000Z,12,LATE_CHECKIN
Simran Reddy,Noida Cluster,2026-07-05T06:12:00.000Z,2026-07-05T15:12:00.000Z,9,LATE_CHECKIN
Harsh Chatterjee,Noida Cluster,2026-07-05T05:50:00.000Z,2026-07-05T14:50:00.000Z,9,LATE_CHECKIN
Prashant Chauhan,Noida Cluster,2026-07-05T05:44:00.000Z,2026-07-05T15:44:00.000Z,10,LATE_CHECKIN
Harsh Saxena,Delhi NCR Cluster,2026-07-05T05:42:00.000Z,2026-07-05T12:42:00.000Z,7,LATE_CHECKIN
Rahul Gupta,Delhi NCR Cluster,2026-07-05T05:41:00.000Z,2026-07-05T09:41:00.000Z,4,LATE_CHECKIN
Varun Malhotra,Gurgaon Solution Cluster,2026-07-05T05:40:00.000Z,,,LATE_CHECKIN
Ishaan Singh,Gurgaon Solution Cluster,2026-07-05T05:21:00.000Z,2026-07-05T15:21:00.000Z,10,LATE_CHECKIN
Shreya Pillai,Faridabad Cluster,2026-07-05T05:08:00.000Z,2026-07-05T14:08:00.000Z,9,LATE_CHECKIN
Simran Verma,Gurgaon Solution Cluster,2026-07-05T05:08:00.000Z,2026-07-05T14:08:00.000Z,9,LATE_CHECKIN
Diya Verma,Manesar Cluster,2026-07-05T05:06:00.000Z,2026-07-05T17:06:00.000Z,12,LATE_CHECKIN
Ritu Malhotra,Unassigned,2026-07-05T05:04:00.000Z,2026-07-05T13:04:00.000Z,8,LATE_CHECKIN
Swati Chauhan,Manesar Cluster,2026-07-05T05:01:00.000Z,,,LATE_CHECKIN
Harsh Chauhan,Faridabad Cluster,2026-07-05T04:23:00.000Z,2026-07-05T13:23:00.000Z,9,ON_TIME
Deepika Iyer,Faridabad Cluster,2026-07-05T04:22:00.000Z,2026-07-05T12:22:00.000Z,8,ON_TIME
Vikram Reddy,Delhi NCR Cluster,2026-07-05T04:15:00.000Z,2026-07-05T13:15:00.000Z,9,ON_TIME
Gaurav Pillai,Noida Cluster,2026-07-05T03:58:00.000Z,2026-07-05T09:58:00.000Z,6,MISSED_CHECKOUT
Ankit Kumar,Manesar Cluster,2026-07-05T03:52:00.000Z,2026-07-05T11:52:00.000Z,8,ON_TIME
Swati Ghosh,Gurgaon Solution Cluster,2026-07-05T03:48:00.000Z,2026-07-05T13:48:00.000Z,10,OVERTIME
Divya Agarwal,Faridabad Cluster,2026-07-04T06:12:00.000Z,2026-07-04T15:12:00.000Z,9,LATE_CHECKIN
Harsh Chatterjee,Unassigned,2026-07-04T05:58:00.000Z,,,LATE_CHECKIN
Neha Chauhan,Delhi NCR Cluster,2026-07-04T05:42:00.000Z,2026-07-04T10:42:00.000Z,5,LATE_CHECKIN
Harsh Saxena,Manesar Cluster,2026-07-04T05:37:00.000Z,2026-07-04T16:37:00.000Z,11,LATE_CHECKIN
Deepika Iyer,Gurgaon Solution Cluster,2026-07-04T05:27:00.000Z,2026-07-04T17:27:00.000Z,12,LATE_CHECKIN
Swati Ghosh,Manesar Cluster,2026-07-04T05:27:00.000Z,2026-07-04T15:27:00.000Z,10,LATE_CHECKIN
Ishaan Singh,Gurgaon Solution Cluster,2026-07-04T05:21:00.000Z,2026-07-04T12:21:00.000Z,7,LATE_CHECKIN
Meera Mehta,Unassigned,2026-07-04T05:19:00.000Z,2026-07-04T14:19:00.000Z,9,LATE_CHECKIN
Harsh Chauhan,Unassigned,2026-07-04T05:06:00.000Z,,,LATE_CHECKIN
Gaurav Pillai,Unassigned,2026-07-04T04:55:00.000Z,2026-07-04T13:55:00.000Z,9,LATE_CHECKIN
Simran Reddy,Gurgaon Solution Cluster,2026-07-04T04:53:00.000Z,2026-07-04T11:53:00.000Z,7,LATE_CHECKIN
Simran Verma,Unassigned,2026-07-04T04:53:00.000Z,2026-07-04T11:53:00.000Z,7,LATE_CHECKIN
Prashant Chauhan,Manesar Cluster,2026-07-04T04:47:00.000Z,2026-07-04T13:47:00.000Z,9,LATE_CHECKIN
Varun Malhotra,Noida Cluster,2026-07-04T04:44:00.000Z,2026-07-04T13:44:00.000Z,9,LATE_CHECKIN
Swati Tiwari,Gurgaon Solution Cluster,2026-07-04T04:25:00.000Z,2026-07-04T09:25:00.000Z,5,MISSED_CHECKOUT
Rahul Ghosh,Manesar Cluster,2026-07-04T04:19:00.000Z,2026-07-04T08:19:00.000Z,4,MISSED_CHECKOUT
Karan Kapoor,Faridabad Cluster,2026-07-04T04:16:00.000Z,2026-07-04T11:16:00.000Z,7,ON_TIME
Varun Pillai,Manesar Cluster,2026-07-04T04:16:00.000Z,2026-07-04T13:16:00.000Z,9,ON_TIME
Vikram Reddy,Faridabad Cluster,2026-07-04T04:02:00.000Z,2026-07-04T13:02:00.000Z,9,ON_TIME
Ankit Kumar,Manesar Cluster,2026-07-04T03:58:00.000Z,2026-07-04T09:58:00.000Z,6,MISSED_CHECKOUT
Diya Verma,Noida Cluster,2026-07-04T03:55:00.000Z,2026-07-04T08:55:00.000Z,5,MISSED_CHECKOUT
Ritu Malhotra,Gurgaon Solution Cluster,2026-07-04T03:50:00.000Z,2026-07-04T13:50:00.000Z,10,OVERTIME
Swati Chauhan,Manesar Cluster,2026-07-04T03:48:00.000Z,,,MISSED_CHECKOUT
Harsh Chauhan,Faridabad Cluster,2026-07-03T06:18:00.000Z,2026-07-03T16:18:00.000Z,10,LATE_CHECKIN
Diya Verma,Gurgaon Solution Cluster,2026-07-03T06:10:00.000Z,2026-07-03T13:10:00.000Z,7,LATE_CHECKIN
Shreya Pillai,Faridabad Cluster,2026-07-03T06:09:00.000Z,,,LATE_CHECKIN
Gaurav Pillai,Faridabad Cluster,2026-07-03T06:07:00.000Z,2026-07-03T12:07:00.000Z,6,LATE_CHECKIN
Rahul Gupta,Gurgaon Solution Cluster,2026-07-03T05:58:00.000Z,2026-07-03T12:58:00.000Z,7,LATE_CHECKIN
Rahul Ghosh,Unassigned,2026-07-03T05:47:00.000Z,2026-07-03T17:47:00.000Z,12,LATE_CHECKIN
Harsh Chatterjee,Gurgaon Solution Cluster,2026-07-03T05:38:00.000Z,2026-07-03T14:38:00.000Z,9,LATE_CHECKIN
Simran Reddy,Delhi NCR Cluster,2026-07-03T05:16:00.000Z,2026-07-03T12:16:00.000Z,7,LATE_CHECKIN
Swati Ghosh,Noida Cluster,2026-07-03T05:12:00.000Z,2026-07-03T14:12:00.000Z,9,LATE_CHECKIN
Divya Agarwal,Unassigned,2026-07-03T05:12:00.000Z,2026-07-03T09:12:00.000Z,4,LATE_CHECKIN
Vikram Reddy,Noida Cluster,2026-07-03T05:01:00.000Z,2026-07-03T15:01:00.000Z,10,LATE_CHECKIN
Ankit Kumar,Faridabad Cluster,2026-07-03T04:56:00.000Z,,,LATE_CHECKIN
Varun Pillai,Unassigned,2026-07-03T04:53:00.000Z,2026-07-03T12:53:00.000Z,8,LATE_CHECKIN
Ritu Malhotra,Unassigned,2026-07-03T04:44:00.000Z,2026-07-03T12:44:00.000Z,8,LATE_CHECKIN
Swati Tiwari,Delhi NCR Cluster,2026-07-03T04:41:00.000Z,2026-07-03T11:41:00.000Z,7,LATE_CHECKIN
Meera Mehta,Gurgaon Solution Cluster,2026-07-03T04:30:00.000Z,2026-07-03T12:30:00.000Z,8,LATE_CHECKIN
Deepika Iyer,Faridabad Cluster,2026-07-03T04:18:00.000Z,2026-07-03T12:18:00.000Z,8,ON_TIME
Karan Kapoor,Gurgaon Solution Cluster,2026-07-03T04:13:00.000Z,2026-07-03T10:13:00.000Z,6,MISSED_CHECKOUT
Harsh Saxena,Unassigned,2026-07-03T04:12:00.000Z,2026-07-03T12:12:00.000Z,8,ON_TIME
Varun Malhotra,Unassigned,2026-07-03T03:45:00.000Z,2026-07-03T13:45:00.000Z,10,OVERTIME
Neha Chauhan,Gurgaon Solution Cluster,2026-07-03T03:44:00.000Z,2026-07-03T10:44:00.000Z,7,ON_TIME
Swati Chauhan,Delhi NCR Cluster,2026-07-03T03:41:00.000Z,2026-07-03T12:41:00.000Z,9,ON_TIME
Shreya Pillai,Noida Cluster,2026-07-02T06:19:00.000Z,2026-07-02T14:19:00.000Z,8,LATE_CHECKIN
Diya Verma,Faridabad Cluster,2026-07-02T05:58:00.000Z,2026-07-02T12:58:00.000Z,7,LATE_CHECKIN
Swati Chauhan,Noida Cluster,2026-07-02T05:45:00.000Z,2026-07-02T13:45:00.000Z,8,LATE_CHECKIN
Swati Tiwari,Manesar Cluster,2026-07-02T05:38:00.000Z,2026-07-02T12:38:00.000Z,7,LATE_CHECKIN
Varun Malhotra,Noida Cluster,2026-07-02T05:10:00.000Z,2026-07-02T14:10:00.000Z,9,LATE_CHECKIN
Rahul Ghosh,Noida Cluster,2026-07-02T05:09:00.000Z,2026-07-02T13:09:00.000Z,8,LATE_CHECKIN
Deepika Iyer,Noida Cluster,2026-07-02T05:08:00.000Z,2026-07-02T10:08:00.000Z,5,LATE_CHECKIN
Varun Pillai,Gurgaon Solution Cluster,2026-07-02T05:07:00.000Z,2026-07-02T13:07:00.000Z,8,LATE_CHECKIN
Swati Ghosh,Delhi NCR Cluster,2026-07-02T04:53:00.000Z,,,LATE_CHECKIN
Harsh Saxena,Delhi NCR Cluster,2026-07-02T04:47:00.000Z,2026-07-02T13:47:00.000Z,9,LATE_CHECKIN
Divya Agarwal,Faridabad Cluster,2026-07-02T04:41:00.000Z,2026-07-02T12:41:00.000Z,8,LATE_CHECKIN
Simran Reddy,Faridabad Cluster,2026-07-02T04:33:00.000Z,2026-07-02T10:33:00.000Z,6,LATE_CHECKIN
Ritu Malhotra,Noida Cluster,2026-07-02T04:20:00.000Z,2026-07-02T16:20:00.000Z,12,OVERTIME
Neha Chauhan,Faridabad Cluster,2026-07-02T04:18:00.000Z,,,MISSED_CHECKOUT
Harsh Chauhan,Gurgaon Solution Cluster,2026-07-02T04:15:00.000Z,2026-07-02T10:15:00.000Z,6,MISSED_CHECKOUT
Vikram Reddy,Delhi NCR Cluster,2026-07-02T04:07:00.000Z,2026-07-02T11:07:00.000Z,7,ON_TIME
Gaurav Pillai,Faridabad Cluster,2026-07-02T04:02:00.000Z,2026-07-02T11:02:00.000Z,7,ON_TIME
Prashant Chauhan,Faridabad Cluster,2026-07-02T03:55:00.000Z,,,MISSED_CHECKOUT
Simran Verma,Unassigned,2026-07-02T03:47:00.000Z,2026-07-02T12:47:00.000Z,9,ON_TIME
Rahul Gupta,Gurgaon Solution Cluster,2026-07-02T03:37:00.000Z,2026-07-02T13:37:00.000Z,10,OVERTIME
Karan Kapoor,Unassigned,2026-07-01T06:08:00.000Z,2026-07-01T10:08:00.000Z,4,LATE_CHECKIN
Simran Verma,Noida Cluster,2026-07-01T06:06:00.000Z,2026-07-01T15:06:00.000Z,9,LATE_CHECKIN
Ankit Kumar,Faridabad Cluster,2026-07-01T05:56:00.000Z,2026-07-01T10:56:00.000Z,5,LATE_CHECKIN
Harsh Chauhan,Gurgaon Solution Cluster,2026-07-01T05:41:00.000Z,2026-07-01T14:41:00.000Z,9,LATE_CHECKIN
Deepika Iyer,Delhi NCR Cluster,2026-07-01T05:37:00.000Z,2026-07-01T13:37:00.000Z,8,LATE_CHECKIN
Varun Pillai,Gurgaon Solution Cluster,2026-07-01T05:36:00.000Z,2026-07-01T13:36:00.000Z,8,LATE_CHECKIN
Diya Verma,Manesar Cluster,2026-07-01T05:26:00.000Z,2026-07-01T12:26:00.000Z,7,LATE_CHECKIN
Rahul Gupta,Unassigned,2026-07-01T05:08:00.000Z,2026-07-01T14:08:00.000Z,9,LATE_CHECKIN
Rahul Ghosh,Delhi NCR Cluster,2026-07-01T04:51:00.000Z,2026-07-01T13:51:00.000Z,9,LATE_CHECKIN
Swati Chauhan,Faridabad Cluster,2026-07-01T04:50:00.000Z,2026-07-01T10:50:00.000Z,6,LATE_CHECKIN
Shreya Pillai,Unassigned,2026-07-01T04:50:00.000Z,2026-07-01T15:50:00.000Z,11,LATE_CHECKIN
Vikram Reddy,Delhi NCR Cluster,2026-07-01T04:49:00.000Z,2026-07-01T10:49:00.000Z,6,LATE_CHECKIN
Harsh Chatterjee,Delhi NCR Cluster,2026-07-01T04:22:00.000Z,2026-07-01T12:22:00.000Z,8,ON_TIME
Neha Chauhan,Noida Cluster,2026-07-01T04:20:00.000Z,,,MISSED_CHECKOUT
Gaurav Pillai,Delhi NCR Cluster,2026-07-01T04:05:00.000Z,2026-07-01T11:05:00.000Z,7,ON_TIME
Simran Reddy,Faridabad Cluster,2026-07-01T03:59:00.000Z,2026-07-01T10:59:00.000Z,7,ON_TIME
Ritu Malhotra,Delhi NCR Cluster,2026-07-01T03:56:00.000Z,2026-07-01T13:56:00.000Z,10,OVERTIME
Swati Ghosh,Unassigned,2026-07-01T03:47:00.000Z,2026-07-01T12:47:00.000Z,9,ON_TIME
Prashant Chauhan,Gurgaon Solution Cluster,2026-07-01T03:41:00.000Z,2026-07-01T12:41:00.000Z,9,ON_TIME
Swati Tiwari,Noida Cluster,2026-07-01T03:39:00.000Z,2026-07-01T09:39:00.000Z,6,MISSED_CHECKOUT
Harsh Saxena,Noida Cluster,2026-07-01T03:33:00.000Z,2026-07-01T11:33:00.000Z,8,ON_TIME
Karan Kapoor,Manesar Cluster,2026-06-30T06:04:00.000Z,2026-06-30T14:04:00.000Z,8,LATE_CHECKIN
Gaurav Pillai,Noida Cluster,2026-06-30T05:25:00.000Z,2026-06-30T14:25:00.000Z,9,LATE_CHECKIN
Ritu Malhotra,Delhi NCR Cluster,2026-06-30T05:19:00.000Z,2026-06-30T10:19:00.000Z,5,LATE_CHECKIN
Varun Pillai,Gurgaon Solution Cluster,2026-06-30T05:15:00.000Z,2026-06-30T11:15:00.000Z,6,LATE_CHECKIN
Divya Agarwal,Unassigned,2026-06-30T05:02:00.000Z,2026-06-30T16:02:00.000Z,11,LATE_CHECKIN
Swati Ghosh,Unassigned,2026-06-30T05:00:00.000Z,2026-06-30T09:00:00.000Z,4,LATE_CHECKIN
Vikram Reddy,Faridabad Cluster,2026-06-30T04:58:00.000Z,2026-06-30T13:58:00.000Z,9,LATE_CHECKIN
Simran Reddy,Faridabad Cluster,2026-06-30T04:35:00.000Z,2026-06-30T13:35:00.000Z,9,LATE_CHECKIN
Ishaan Singh,Noida Cluster,2026-06-30T04:32:00.000Z,2026-06-30T08:32:00.000Z,4,LATE_CHECKIN
Harsh Saxena,Noida Cluster,2026-06-30T04:27:00.000Z,2026-06-30T11:27:00.000Z,7,ON_TIME
Swati Chauhan,Gurgaon Solution Cluster,2026-06-30T04:11:00.000Z,2026-06-30T10:11:00.000Z,6,MISSED_CHECKOUT
Varun Malhotra,Unassigned,2026-06-30T04:07:00.000Z,2026-06-30T13:07:00.000Z,9,ON_TIME
Harsh Chatterjee,Noida Cluster,2026-06-30T04:05:00.000Z,2026-06-30T11:05:00.000Z,7,ON_TIME
Ankit Kumar,Gurgaon Solution Cluster,2026-06-30T04:04:00.000Z,2026-06-30T11:04:00.000Z,7,ON_TIME
Swati Tiwari,Gurgaon Solution Cluster,2026-06-30T03:48:00.000Z,2026-06-30T13:48:00.000Z,10,OVERTIME
Shreya Pillai,Faridabad Cluster,2026-06-30T03:46:00.000Z,2026-06-30T12:46:00.000Z,9,ON_TIME
Deepika Iyer,Noida Cluster,2026-06-30T03:42:00.000Z,2026-06-30T08:42:00.000Z,5,MISSED_CHECKOUT
Rahul Ghosh,Unassigned,2026-06-30T03:35:00.000Z,2026-06-30T09:35:00.000Z,6,MISSED_CHECKOUT
Simran Verma,Manesar Cluster,2026-06-30T03:34:00.000Z,2026-06-30T15:34:00.000Z,12,OVERTIME
Rahul Gupta,Gurgaon Solution Cluster,2026-06-30T03:33:00.000Z,2026-06-30T07:33:00.000Z,4,MISSED_CHECKOUT
Divya Agarwal,Gurgaon Solution Cluster,2026-06-29T06:25:00.000Z,2026-06-29T13:25:00.000Z,7,LATE_CHECKIN
Deepika Iyer,Faridabad Cluster,2026-06-29T06:10:00.000Z,2026-06-29T13:10:00.000Z,7,LATE_CHECKIN
Karan Kapoor,Faridabad Cluster,2026-06-29T05:48:00.000Z,2026-06-29T12:48:00.000Z,7,LATE_CHECKIN
Harsh Saxena,Unassigned,2026-06-29T05:41:00.000Z,2026-06-29T12:41:00.000Z,7,LATE_CHECKIN
Shreya Pillai,Gurgaon Solution Cluster,2026-06-29T05:07:00.000Z,2026-06-29T10:07:00.000Z,5,LATE_CHECKIN
Simran Verma,Delhi NCR Cluster,2026-06-29T04:56:00.000Z,2026-06-29T12:56:00.000Z,8,LATE_CHECKIN
Harsh Chatterjee,Delhi NCR Cluster,2026-06-29T04:53:00.000Z,2026-06-29T11:53:00.000Z,7,LATE_CHECKIN
Diya Verma,Noida Cluster,2026-06-29T04:48:00.000Z,2026-06-29T15:48:00.000Z,11,LATE_CHECKIN
Ritu Malhotra,Noida Cluster,2026-06-29T04:47:00.000Z,,,LATE_CHECKIN
Prashant Chauhan,Faridabad Cluster,2026-06-29T04:45:00.000Z,2026-06-29T09:45:00.000Z,5,LATE_CHECKIN
Neha Chauhan,Noida Cluster,2026-06-29T04:39:00.000Z,2026-06-29T12:39:00.000Z,8,LATE_CHECKIN
Varun Pillai,Delhi NCR Cluster,2026-06-29T04:32:00.000Z,2026-06-29T11:32:00.000Z,7,LATE_CHECKIN
Simran Reddy,Unassigned,2026-06-29T04:24:00.000Z,2026-06-29T12:24:00.000Z,8,ON_TIME
Vikram Reddy,Faridabad Cluster,2026-06-29T04:16:00.000Z,2026-06-29T11:16:00.000Z,7,ON_TIME
Varun Malhotra,Manesar Cluster,2026-06-29T04:12:00.000Z,2026-06-29T12:12:00.000Z,8,ON_TIME
Meera Mehta,Manesar Cluster,2026-06-29T04:11:00.000Z,2026-06-29T09:11:00.000Z,5,MISSED_CHECKOUT
Swati Chauhan,Manesar Cluster,2026-06-29T03:57:00.000Z,2026-06-29T12:57:00.000Z,9,ON_TIME
Ankit Kumar,Faridabad Cluster,2026-06-29T03:45:00.000Z,,,MISSED_CHECKOUT
Swati Tiwari,Manesar Cluster,2026-06-29T03:40:00.000Z,2026-06-29T14:40:00.000Z,11,OVERTIME
Harsh Chauhan,Noida Cluster,2026-06-29T03:37:00.000Z,2026-06-29T10:37:00.000Z,7,ON_TIME
Gaurav Pillai,Noida Cluster,2026-06-29T03:31:00.000Z,2026-06-29T10:31:00.000Z,7,ON_TIME
Simran Verma,Delhi NCR Cluster,2026-06-28T06:18:00.000Z,2026-06-28T15:18:00.000Z,9,LATE_CHECKIN
Meera Mehta,Manesar Cluster,2026-06-28T06:06:00.000Z,2026-06-28T17:06:00.000Z,11,LATE_CHECKIN
Deepika Iyer,Manesar Cluster,2026-06-28T05:38:00.000Z,2026-06-28T12:38:00.000Z,7,LATE_CHECKIN
Swati Ghosh,Unassigned,2026-06-28T05:36:00.000Z,2026-06-28T15:36:00.000Z,10,LATE_CHECKIN
Diya Verma,Gurgaon Solution Cluster,2026-06-28T05:34:00.000Z,2026-06-28T09:34:00.000Z,4,LATE_CHECKIN
Prashant Chauhan,Delhi NCR Cluster,2026-06-28T05:34:00.000Z,2026-06-28T09:34:00.000Z,4,LATE_CHECKIN
Simran Reddy,Delhi NCR Cluster,2026-06-28T05:18:00.000Z,2026-06-28T14:18:00.000Z,9,LATE_CHECKIN
Rahul Ghosh,Manesar Cluster,2026-06-28T04:53:00.000Z,2026-06-28T10:53:00.000Z,6,LATE_CHECKIN
Ankit Kumar,Unassigned,2026-06-28T04:42:00.000Z,2026-06-28T13:42:00.000Z,9,LATE_CHECKIN
Swati Tiwari,Unassigned,2026-06-28T04:26:00.000Z,2026-06-28T11:26:00.000Z,7,ON_TIME
Divya Agarwal,Delhi NCR Cluster,2026-06-28T04:21:00.000Z,2026-06-28T08:21:00.000Z,4,MISSED_CHECKOUT
Harsh Saxena,Faridabad Cluster,2026-06-28T04:18:00.000Z,2026-06-28T13:18:00.000Z,9,ON_TIME
Gaurav Pillai,Gurgaon Solution Cluster,2026-06-28T04:08:00.000Z,,,MISSED_CHECKOUT
Rahul Gupta,Manesar Cluster,2026-06-28T04:03:00.000Z,2026-06-28T14:03:00.000Z,10,OVERTIME
Harsh Chatterjee,Gurgaon Solution Cluster,2026-06-28T03:58:00.000Z,,,MISSED_CHECKOUT
Neha Chauhan,Gurgaon Solution Cluster,2026-06-28T03:54:00.000Z,2026-06-28T10:54:00.000Z,7,ON_TIME
Harsh Chauhan,Noida Cluster,2026-06-28T03:46:00.000Z,2026-06-28T13:46:00.000Z,10,OVERTIME
Ritu Malhotra,Manesar Cluster,2026-06-28T03:38:00.000Z,2026-06-28T11:38:00.000Z,8,ON_TIME
